name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Rekar Rosa,SLO,23,21.42,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,35+,20,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Krampl Mia,SLO,24,22.08,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,31+,39+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Macià Martín Geila,ESP,24,22.08,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,31+,39+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Schwaiger Ines,AUT,26,24.57,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,26,40+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Yi Zoe,USA,27,25.0,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,30+,39+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
MUGISHIMA Kohana,JPN,28,26.93,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,30,39+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Aguado Valentina,ARG,29,28.5,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,30+,38+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
van der Meer Lynn,NED,30,28.72,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,26+,39+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
KOBETS Anastasiia,UKR,31,29.29,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,31+,35,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
ODA Natsumi,JPN,32,30.62,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,25+,39+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
LINTANG CAHYANI SUKMA,INA,33,32.21,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,24+,39+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
PLASSOUX DJIGA INA,FRA,33,32.21,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,24+,39+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Scolaris Ilaria,ITA,35,32.86,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,29+,37+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Fiser Julia,AUT,36,34.47,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,26+,37+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Goric Lana,SLO,37,34.99,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,27,36+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Mlakar Staric Zala,SLO,38,36.73,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,24+,38+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Copar Sara,SLO,39,36.74,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,25+,37+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Skusek Lana,SLO,40,37.23,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,26+,35+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Fisher Ella,USA,41,37.45,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,26,36+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Witt Ronja Marlene,GER,42,39.71,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,24+,37,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Øvre-Eide Sunniva,NOR,43,40.61,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,19+,38,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
OGURA Sana,JPN,44,41.75,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,24+,35+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Cameron Thea,GBR,45,45.09,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,24+,28+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Potapova Nika,UKR,46,45.25,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,23+,34+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Kompein Magdalena,AUT,47,46.24,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,20+,34+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Egli Zoé,SUI,48,47.48,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,21,28+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Guttenberger Mia,GER,49,48.96,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,18+,33+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Egli Liv,SUI,50,49.14,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,16,35+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Šimeková Sára,SVK,51,50.22,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,19+,22+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Madere Maya,USA,52,51.2,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,18,28+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
White Brooke,CAN,53,53.25,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,18,22,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Bernardini Giulia,ITA,54,53.92,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,18+,18+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Galeova Ema,CZE,54,53.92,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,18+,18+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Hendry Cedar,CAN,56,54.15,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,16,24+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Bjarnason Svana,ISL,57,55.25,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,17,19,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Tvedt Pernille,NOR,58,56.24,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,17,18+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Criscuoli Tavares Amanda,BRA,59,59.0,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,12+,17,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
VALSAMIDI Danai,GRE,60,60.0,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,6,15+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
