name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
ROBERTS Toby,GBR,19,84.5,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,4,1,1,3,1,X,X,1,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
GIRARD Antoine,FRA,19,69.1,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,2,X,2,8,5,X,X,1,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
YAMAGUCHI Kento,JPN,19,84.5,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,3,1,1,1,3,1,X,X,X,2,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
LEMAGNER Thomas,FRA,23,68.9,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,X,2,2,2,X,9,2,2,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
ARRIAGADA KRÜGER Elias,GER,23,68.9,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,6,X,2,2,1,X,X,5,5,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
MCARTHUR Hamish,GBR,23,84.4,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,1,3,1,5,2,X,X,1,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
VON FREIER Lasse,GER,23,68.9,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,6,X,1,5,5,X,X,3,3,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
REUSA Matteo,ITA,23,84.4,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,3,3,1,1,5,4,X,X,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
XU Ziqi,CHN,28,83.9,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,4,4,5,2,X,4,2,2,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
WIMMER Julian,AUT,29,68.8,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,3,X,X,X,3,4,4,6,3,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
ROMŠAK Timotej,SLO,29,79.1,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,3,2,1,5,1,X,3,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
AKHTAR Dayan,GBR,31,68.4,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,5,5,3,X,9,X,X,1,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
CHON Yejun,KOR,31,69.6,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,1,1,1,4,1,X,X,X,2,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
PEINADO FRANGANILLO Guillermo,ESP,33,69.4,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,2,2,X,2,X,5,1,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
WÜRTHNER Tim,GER,33,60.4,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,8,X,5,5,5,X,18,X,15,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
RUSEV Nikolay,BUL,35,69.3,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,1,1,4,3,X,5,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
SUGIMOTO Yusuke,JPN,35,59.3,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,3,2,4,3,X,X,X,3,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
PARE Maxim,AUS,37,69.1,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,3,1,4,3,X,1,X,5,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
BRAND Paul,NED,37,54.2,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,X,5,3,2,X,3,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
PRIHED Oren,ISR,39,69.0,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,2,5,2,5,2,X,X,X,2,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
EVERETT Vail,USA,39,54.0,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,7,X,4,2,2,X,X,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
NARASAKI Tomoa,JPN,41,64.2,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,1,1,1,X,1,X,9,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
MOKROLUSKY Lukas,CZE,41,53.9,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,4,X,6,4,3,X,X,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
SARTIRANA Nicolò,ITA,43,63.8,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,1,2,2,X,4,X,7,X,3,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
INTRACHUPONGSE Ardch,THA,43,44.7,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,X,2,3,1,X,X,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
BAUDRAND Oscar,CAN,45,59.6,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,2,2,X,1,X,X,4,2,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
KIROV Slav,BUL,45,44.4,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,X,5,3,2,X,X,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
DUFFY Colin,USA,47,59.4,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,4,1,3,3,X,2,X,X,X,X,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
LORENZI Simon,BEL,47,44.2,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,X,3,5,1,X,X,X,3,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
