name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,source_file
HUNT Emma,USA,1,- (6.36),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,6.498,False,-,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
KALUCKA Natalia,POL,2,- (6.44),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,6.765,False,-,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
DENG Lijuan,CHN,3,- (6.50),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,6.509,False,-,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
ZHOU Yafei,CHN,4,- (6.56),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,6.704,False,-,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
QIN Yumei,CHN,5,- (6.73),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,6.734,False,-,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
ZHANG Shaoqin,CHN,6,- (6.79),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,7.03,False,-,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
MENG Shixue,CHN,7,- (6.85),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,6.855,False,-,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
RANDI  Giulia,ITA,8,- (7.16),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,True,7.169,False,-,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
KELLY Piper,USA,9,7.23 (7.02),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,7.238,,,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
ULZHABAYEVA Tamara,KAZ,10,7.22,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,7.225,,,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
COLLI Beatrice,ITA,11,7.23,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,7.233,,,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
CHUDZIAK Patrycja,POL,12,7.23,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,7.233,,,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
ROMERO PÉREZ Leslie Adriana,ESP,13,7.29,IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,7.294,,,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
ROJAS Andrea,ECU,14,7.83 (7.35),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,7.833,,,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
YANG Mi,CHN,15,10.78 (7.42),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,10.789,,,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
ROTHFORK Isis,USA,16,9.41 (7.49),IFSC World Cup Denver 2025,1455,2025,"Denver, USA",Speed,Women,Final,2025-05-31,/api/v1/category_rounds/10042/results,/api/v1/events/1455/result/6,False,9.411,,,"2025-05-31_Denver, USA_Speed_Women_Final.csv"
